FG.,percent_3pt,percent_FT,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,StrengthOfSchedule,DRtg,NRtg,Pace,FTr,team_abbreviation_home,team_abbreviation_away,game_date,game_yearEnd,wl_home
0.428,0.376,0.769,34.8,11.5,44.9,26.1,8.2,6.2,14.3,22.5,99.9,0.22,105.5,6.9,94.7,0.304,LAC,SAS,2014-11-10 0:00,2015,0
0.463,0.352,0.752,36.6,10.9,47.7,22.8,6.6,5.1,13.8,22.6,109.5,-0.51,103.2,0.3,93.2,0.234,IND,UTA,2014-11-10 0:00,2015,1
0.45,0.367,0.801,34.3,11.3,46.3,23.8,7.9,4.7,14.7,19.8,108.2,-0.4,106.3,4.8,92.3,0.262,CLE,NOP,2014-11-10 0:00,2015,1
0.458,0.353,0.773,36.3,11.2,48.8,23.2,6.7,4.8,15.5,19.5,105.7,-0.46,104.3,3.2,92.8,0.225,CHI,DET,2014-11-10 0:00,2015,1
0.455,0.347,0.787,32.4,11.5,43.9,23.1,7.6,4.5,14.4,23.4,111.0,-0.18,110.0,-10.1,91.2,0.276,NYK,ATL,2014-11-10 0:00,2015,0
0.478,0.352,0.768,33.1,10.6,44.0,23.4,8.4,4.6,16.2,20.9,111.6,0.46,106.4,3.1,95.2,0.295,DAL,SAC,2014-11-11 0:00,2015,1
0.459,0.362,0.757,37.0,11.2,48.2,23.1,6.7,6.1,15.8,19.2,102.7,0.18,103.7,4.5,94.2,0.239,POR,CHA,2014-11-11 0:00,2015,1
0.452,0.339,0.76,34.5,11.2,45.8,23.3,9.2,5.2,14.3,20.5,105.3,0.38,102.2,3.5,92.0,0.258,MEM,LAL,2014-11-11 0:00,2015,1
0.457,0.352,0.751,32.9,12.5,44.4,22.1,8.0,4.8,15.8,22.3,108.2,-0.62,107.7,3.3,92.8,0.251,TOR,ORL,2014-11-11 0:00,2015,1
0.456,0.398,0.741,34.8,10.0,45.4,27.8,9.4,5.0,15.1,20.2,103.9,-0.09,101.4,10.2,98.3,0.263,GSW,SAS,2014-11-11 0:00,2015,0
0.438,0.363,0.776,32.9,12.2,44.2,24.7,10.1,4.2,14.6,23.2,102.9,-0.52,102.2,0.5,94.1,0.306,MIL,OKC,2014-11-11 0:00,2015,1
0.443,0.341,0.754,33.1,11.5,44.4,20.8,8.8,3.7,16.0,21.9,104.7,0.52,106.2,-0.9,96.3,0.309,PHX,BKN,2014-11-12 0:00,2015,1
0.462,0.37,0.742,34.8,11.1,47.3,24.0,7.3,4.9,14.3,20.3,103.7,0.34,107.3,0.9,91.4,0.233,NOP,LAL,2014-11-12 0:00,2015,1
0.466,0.335,0.778,32.9,9.3,42.9,21.8,8.6,4.9,13.5,21.9,108.9,-0.32,106.7,-2.8,90.9,0.259,MIA,IND,2014-11-12 0:00,2015,0
0.433,0.332,0.734,30.9,12.7,43.1,22.7,8.6,4.6,13.8,20.2,104.5,0.79,112.2,-9.3,94.4,0.259,MIN,HOU,2014-11-12 0:00,2015,0
0.428,0.327,0.769,33.8,11.5,45.3,25.3,8.5,5.1,14.7,21.9,99.9,-0.56,104.5,0.2,95.8,0.278,BOS,OKC,2014-11-12 0:00,2015,0
0.458,0.36,0.773,36.0,11.2,47.0,25.3,7.7,4.5,13.9,21.9,105.7,-0.55,103.0,0.7,93.7,0.234,WAS,DET,2014-11-12 0:00,2015,1
0.463,0.38,0.752,33.8,10.9,43.1,27.3,9.6,4.7,14.3,18.9,109.5,-0.68,103.1,5.8,93.9,0.276,ATL,UTA,2014-11-12 0:00,2015,1
0.455,0.325,0.787,33.3,11.5,46.0,22.5,8.1,4.6,17.1,23.6,111.0,0.48,108.2,-3.7,96.1,0.262,DEN,POR,2014-11-12 0:00,2015,0
